iter	Passed	Remaining
401	14682	3579
402	14716	3542
403	14752	3505
404	14789	3469
405	14822	3431
406	14858	3395
407	14891	3357
408	14933	3322
409	14973	3286
410	15021	3252
411	15066	3218
412	15108	3182
413	15142	3145
414	15182	3109
415	15217	3072
416	15261	3037
417	15302	3001
418	15350	2967
419	15398	2933
420	15456	2900
421	15504	2865
422	15549	2830
423	15590	2794
424	15633	2758
425	15667	2721
426	15703	2684
427	15736	2647
428	15780	2611
429	15821	2575
430	15868	2540
431	15917	2505
432	15963	2470
433	16000	2433
434	16034	2395
435	16068	2358
436	16101	2321
437	16136	2284
438	16176	2247
439	16216	2211
440	16269	2176
441	16338	2144
442	16417	2112
443	16455	2075
444	16497	2039
445	16534	2001
446	16571	1964
447	16604	1927
448	16643	1890
449	16679	1853
450	16713	1815
451	16747	1778
452	16784	1741
453	16820	1704
454	16853	1666
455	16888	1629
456	16930	1592
457	16968	1556
458	17003	1518
459	17037	1481
460	17069	1444
461	17105	1406
462	17140	1369
463	17178	1332
464	17211	1295
465	17245	1258
466	17280	1221
467	17319	1184
468	17354	1147
469	17391	1110
470	17425	1072
471	17464	1036
472	17496	998
473	17529	961
474	17567	924
475	17600	887
476	17638	850
477	17676	813
478	17711	776
479	17744	739
480	17779	702
481	17819	665
482	17852	628
483	17888	591
484	17921	554
485	17958	517
486	17994	480
487	18028	443
488	18061	406
489	18098	369
490	18135	332
491	18169	295
492	18202	258
493	18238	221
494	18275	184
495	18309	147
496	18346	110
497	18380	73
498	18419	36
499	18452	0
