iter	Logloss
0	0.6234030853
1	0.6044191786
2	0.5498692979
3	0.5202578025
4	0.509817558
5	0.5002074069
6	0.4694693914
7	0.4357991795
8	0.4251583068
9	0.3900973598
10	0.370542494
11	0.3659821686
12	0.3601154629
13	0.3388727914
14	0.3164477275
15	0.3004212929
16	0.2977319916
17	0.2810335019
18	0.267239731
19	0.257363311
20	0.2538859863
21	0.2520200301
22	0.2492390845
23	0.2412795842
24	0.2328332498
25	0.2312784032
26	0.2280097408
27	0.220916966
28	0.2156978383
29	0.2118641337
30	0.2093776509
31	0.2037361308
32	0.1985980385
33	0.1961234372
34	0.1918144116
35	0.1890407868
36	0.1851578923
37	0.1845606741
38	0.1822124741
39	0.1814564336
40	0.1783294129
41	0.1751522654
42	0.1736169369
43	0.173110384
44	0.1720439562
45	0.1702386948
46	0.1687173403
47	0.1667473359
48	0.1644334179
49	0.1630281459
50	0.161013896
51	0.1591365406
52	0.1579509423
53	0.157267762
54	0.1556912139
55	0.154089391
56	0.1532556763
57	0.1524791502
58	0.1511476634
59	0.1506582234
60	0.1492433748
61	0.1480199783
62	0.1472739405
63	0.1464160567
64	0.1461160946
65	0.1455610451
66	0.1452750209
67	0.1448461358
68	0.1438499008
69	0.1430689417
70	0.1428066861
71	0.14255889
72	0.1416585933
73	0.1413526496
74	0.1410965882
75	0.140891487
76	0.1405348416
77	0.1402866884
78	0.1396360789
79	0.1390012609
80	0.1388010335
81	0.1384002477
82	0.1382226417
83	0.1380018585
84	0.137618398
85	0.1368011401
86	0.1364592593
87	0.1361718018
88	0.1358250011
89	0.1356200709
90	0.1352528911
91	0.1349982581
92	0.1348337622
93	0.1345853765
94	0.1343062897
95	0.1341153026
96	0.1339626238
97	0.1338381313
98	0.1336867412
99	0.1335608332
100	0.1333944204
101	0.1332932403
102	0.1331689554
103	0.1329041973
104	0.1327534369
105	0.1326440253
106	0.1324725593
107	0.1321953095
108	0.1321038342
109	0.1319726442
110	0.1318512421
111	0.1317033409
112	0.1315861995
113	0.1314600275
114	0.1312930524
115	0.1311827608
116	0.1311011583
117	0.1309639641
118	0.1308433181
119	0.1307440471
120	0.1306683241
121	0.1305585426
122	0.1304365734
123	0.1303312578
124	0.1302164478
125	0.1301883587
126	0.1301187066
127	0.129992892
128	0.1299144056
129	0.1296619578
130	0.1295610367
131	0.1294762001
132	0.1294050348
133	0.1292502412
134	0.1291541964
135	0.1290918658
136	0.1289923539
137	0.1289298026
138	0.1288664129
139	0.1287485319
140	0.1286843567
141	0.1285663298
142	0.12817375
143	0.12811598
144	0.1280342463
145	0.1278863842
146	0.1277864008
147	0.1277150801
148	0.1276423715
149	0.1275540506
150	0.1274803688
151	0.1274082822
152	0.1273250187
153	0.1272030452
154	0.1271300312
155	0.1270218042
156	0.1269502107
157	0.1268813186
158	0.1267960249
159	0.1267028019
160	0.1266295894
161	0.1265816245
162	0.1265206557
163	0.1264537514
164	0.1263573479
165	0.1263019606
166	0.1262031115
167	0.1260755565
168	0.1260329839
169	0.1259377889
170	0.1258361856
171	0.1257760729
172	0.1257189554
173	0.1256649206
174	0.1255852014
175	0.1254533658
176	0.1253932449
177	0.1253413702
178	0.1252495193
179	0.1251790974
180	0.1251063653
181	0.1249979125
182	0.1249374021
183	0.1248674771
184	0.124798661
185	0.1247111129
186	0.124518087
187	0.1244139854
188	0.124226359
189	0.1241784447
190	0.1240889181
191	0.1240318229
192	0.1238992575
193	0.1238339907
194	0.1237531501
195	0.1236562732
196	0.1235570222
197	0.1234717011
198	0.1233959881
199	0.1233334273
200	0.1232491809
201	0.12310475
202	0.1230211038
203	0.1229370563
204	0.1228874102
205	0.1227689914
206	0.1227005969
207	0.1226200272
208	0.1225582067
209	0.1225199055
210	0.1224586636
211	0.1224061803
212	0.1223675585
213	0.1223029888
214	0.1222514966
215	0.1221799455
216	0.1221259418
217	0.1220614528
218	0.1219970163
219	0.1219638543
220	0.1219004975
221	0.1218175308
222	0.1217425278
223	0.1216911423
224	0.1215810271
225	0.1214918794
226	0.121432147
227	0.1213397043
228	0.1213262105
229	0.1212504524
230	0.1212068821
231	0.1211447612
232	0.1211344893
233	0.1210709381
234	0.1209751988
235	0.1209407794
236	0.1208821783
237	0.1207928013
238	0.1207178998
239	0.1206565278
240	0.1205471426
241	0.1205075518
242	0.1204341529
243	0.1203666942
244	0.1203049694
245	0.1202710448
246	0.120206188
247	0.1201667071
248	0.1201095273
249	0.1200490827
250	0.1199587462
251	0.1199163813
252	0.1198472089
253	0.1197898262
254	0.1197436459
255	0.1196982237
256	0.1196391982
257	0.119556829
258	0.1195089091
259	0.1194443064
260	0.1193987014
261	0.1193250939
262	0.1192509562
263	0.1191949616
264	0.1191270849
265	0.1190737255
266	0.1190145321
267	0.1189545086
268	0.1189119278
269	0.1188487113
270	0.1187325465
271	0.1186573256
272	0.1185938244
273	0.1185383069
274	0.1184542934
275	0.1184002205
276	0.1183536999
277	0.1182910762
278	0.1182895609
279	0.1181711903
280	0.1181292904
281	0.117948325
282	0.1178988138
283	0.1177989975
284	0.117730703
285	0.1176785161
286	0.117635676
287	0.1175847556
288	0.1175190348
289	0.1174649982
290	0.1174187973
291	0.1173342936
292	0.1172798668
293	0.1172092758
294	0.1171196709
295	0.1170553594
296	0.1169925314
297	0.1169609103
298	0.1168898817
299	0.1168223719
300	0.1167709767
301	0.1167223486
302	0.1166618937
303	0.1165846051
304	0.1165330882
305	0.1164803764
306	0.1164220539
307	0.1163451639
308	0.1162922474
309	0.1162325535
310	0.1161845505
311	0.1161433909
312	0.1160664296
313	0.1160138447
314	0.115953833
315	0.1159129786
316	0.1157871305
317	0.1157416101
318	0.1156770882
319	0.115609774
320	0.1155592331
321	0.1154837208
322	0.1153997098
323	0.1153270324
324	0.115276052
325	0.1152129694
326	0.1151673864
327	0.1151230516
328	0.1150700635
329	0.1150136937
330	0.1149610955
331	0.1149059663
332	0.1148709021
333	0.1147926723
334	0.1147142443
335	0.1146647526
336	0.1146184417
337	0.1145625255
338	0.1145161272
339	0.1144800649
340	0.1144282791
341	0.1143852021
342	0.1143237942
343	0.1142755346
344	0.114154706
345	0.1140866189
346	0.1140524311
347	0.113981572
348	0.1139439431
349	0.1138926681
350	0.1138522903
351	0.1137979687
352	0.1137419496
353	0.1136629816
354	0.1136084469
355	0.1135438978
356	0.1135079091
357	0.1134813807
358	0.113407645
359	0.1133753395
360	0.1133154948
361	0.1132719659
362	0.1132051079
363	0.1131343972
364	0.1130840763
365	0.1130196546
366	0.1129624842
367	0.1129214084
368	0.1128611941
369	0.1128253239
370	0.1127796308
371	0.1127179584
372	0.1126889727
373	0.1126273307
374	0.1125757208
375	0.112571058
376	0.1125275416
377	0.1124886551
378	0.1124379027
379	0.1123775391
380	0.1123047096
381	0.1122505081
382	0.1122114773
383	0.1121572134
384	0.1121111495
385	0.1120645698
386	0.1119957438
387	0.1119723783
388	0.1119286481
389	0.1118727647
390	0.1118131116
391	0.1117766908
392	0.1117353308
393	0.1116735368
394	0.1116258231
395	0.1115770337
396	0.1115173035
397	0.1114832807
398	0.1114327618
399	0.1113676478
400	0.1113282265
401	0.1112747435
402	0.1112224246
403	0.1111714999
404	0.1111255045
405	0.1110835866
406	0.1110237599
407	0.1109836578
408	0.1109437137
409	0.11087298
410	0.1108244423
411	0.1107833672
412	0.1107479172
413	0.1106981601
414	0.1106379822
415	0.1105194549
416	0.1104404909
417	0.1103826184
418	0.1102436232
419	0.110203837
420	0.1101403444
421	0.1100867053
422	0.1100309595
423	0.1099809203
424	0.1099386532
425	0.109888725
426	0.109853451
427	0.1097837603
428	0.1097223681
429	0.1096837536
430	0.1096306706
431	0.1095870873
432	0.1095569019
433	0.1095051492
434	0.1094657178
435	0.1093876625
436	0.1093479446
437	0.1092979082
438	0.1092434155
439	0.1091872923
440	0.1091431454
441	0.1090703584
442	0.1090238228
443	0.1089931165
444	0.1089572991
445	0.1088403211
446	0.1088023466
447	0.1087634649
448	0.1087136898
449	0.1086615461
450	0.1086178123
451	0.1085607527
452	0.1085116936
453	0.1084759134
454	0.1084085473
455	0.1083513598
456	0.1083247741
457	0.1082880798
458	0.1082434855
459	0.1081763375
460	0.1081368246
461	0.1080676947
462	0.108020245
463	0.1079832392
464	0.1079444237
465	0.1079007778
466	0.1078631722
467	0.1078147062
468	0.1077719878
469	0.1077279242
470	0.107682517
471	0.1076293522
472	0.1076066225
473	0.1075352124
474	0.1074950133
475	0.1074630263
476	0.1074121761
477	0.1073703471
478	0.1073220791
479	0.1072710098
480	0.1072252422
481	0.107174515
482	0.1071322307
483	0.107091639
484	0.1070498854
485	0.1070148856
486	0.1069658282
487	0.1069079769
488	0.1068572576
489	0.1068215977
490	0.1067830989
491	0.1067408012
492	0.1067068408
493	0.1066592424
494	0.1066226749
495	0.1065759116
496	0.1065283167
497	0.1064902657
498	0.1064551598
499	0.1064156454
